formerly,Family,2014 Checklist Species,Authority,FOODPLANT,1,2,3,4,5,6,7,8,9,10,11,12,gen,HABIT,Notes,Cameron synonym,NOTES,forum members,"Cameron larvae vol,pl.-fig. ",Species with larvae illustrated in Vollenhoven,Voll. no.,V.H.Chambers Notebooks,KJGrearson,Quinlan,Zahradnik,Chinery,Carter & H.,Redfern & Shirley,D.R.Smith,Denbighs,Derbys,Chesh.,Lancs.,web link,,,
,Argidae,Aproceros leucopoda,"(Takeuchi, 1939)",Ulmus spp. (Elms),,,,,,,,,,,,,,"Solitary, free","Characteristic zigzag channel eaten between leaf veins initially, leading eventually to leaf stripped bar the central and side veins. ",,,,,,,,,,,,,,,,,,,,,,
,Argidae,Aprosthema melanurum,"(Klug,1814)",Lathyrus spp. (vetchlings and peas),,,,,,,,,,,,,,"Gregarious, free",Feed at leaf margins,,,,,,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Aprosthema melanurum,"(Klug,1814)",Lathyrus pratensis (Meadow Vetchling),,,,,,,,,,,,,,"Gregarious, free",Feed at leaf margins,,,,,,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge berberidis,"Schrank,1802",Berberis spp. (Barberry),,,,,,,,,,,,,,"Gregarious, free","Gregarious when young, dispersing in later instars","Hylotoma berberidis, von Siebold (no text in Cam.)",Brit. 1st rec 2001,,"2,11-5",,,,KJG,fig. 21,,,,,,,,,,,,,
,Argidae,Arge ciliaris,"(Linnaeus,1767)",Filipendula ulmaria (Meadowsweet),,,,,,,,,,,,,,,,Hylotoma ciliaris,,,"3,4-2",,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge cyanocrocea,"(Forster,1771)","Rubus spp. (Brambles, Raspberry, etc)",,,,,,,,,,,,,,,,,,,,,,,KJG,fig. 21,,,,,,50,57,58,,,,,
,Argidae,Arge enodis,"(Linnaeus,1767)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,Hylotoma coeruleipennis,,,"3,4-1",Hylotoma vulgaris klug ,V012,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge fuscipes,"(Fallén,1808)",Betula spp. (Birches),,,,,,,,,,,,,,,,Hylotoma  fuscipes,,,"3,4-4",,,,,fig. 21,,,,,,,,58,[59/60],,,,
,Argidae,Arge fuscipes,"(Fallén,1808)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,Hylotoma  fuscipes,,,"3,4-4",,,,,fig. 21,,,,,,,,58,[59/60],,,,
,Argidae,Arge gracilicornis,"(Klug,1814)",Adoxa moschatellina (Moschatel),,,,,,,,,,,,,,,, H.gracilicornis,,," 2,10-4",,,,KJG,fig. 21,,,,,,,57,58,[59/60],,,,
,Argidae,Arge gracilicornis,"(Klug,1814)",Rubus idaeus (Raspberry),,,,,,,,,,,,,,,, H.gracilicornis,,," 2,10-4",,,,KJG,fig. 21,,,,,,,57,58,[59/60],,,,
,Argidae,Arge gracilicornis,"(Klug,1814)","Rubus spp. (Brambles, Raspberry, etc)",,,,,,,,,,,,,,,, H.gracilicornis,,," 2,10-4",,,,KJG,fig. 21,,,,,,,57,58,[59/60],,,,
,Argidae,Arge melanochra,"(Gmelin,1790)",unknown,,,,,,,,,,,,,,,,,,,,,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge metallica,"(Klug,1834)",Betula spp. (Birches),,,,,,,,,,,,,,,,,,,,,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge nigripes,"(Retzius,1783)",Rosa spp. (Roses),,,,,,,,,,,,,,,,,,,,,,,,fig. 21,,,,,,50,,[58],[59/60],,,,
,Argidae,Arge ochropus,"(Gmelin,1790)",Rosa spp. (Roses),,,,,,,,,,,,,,"Gregarious, free",,Hylotoma rosae misident.,,,"2,11-8",Hylotoma rosae ,V017,,,fig. 21,,,p199-6,,,,,,,,,,
,Argidae,Arge pagana,"(Panzer,1797)",Rosa spp. (Roses),,,,,,,,,,,,,,"Gregarious, free",,,,,,,,,KJG,fig. 21,,,,,,,,,,,,,
,Argidae,Arge rustica,"(Linnaeus,1758)",Quercus spp. (Oaks),,,,,,,,,,,,,,,,Hylotoma atrata,,,"3,4-3",,,,,fig. 21,,,,,,,,,,,,,
,Argidae,Arge ustulata,"(Linnaeus,1758)",Betula spp. (Birches),,,,,,,,,,,,,,,,Hylotoma ustulata,,,"3,4-5 2,10-3",Hylotoma ustulata,V015,,,fig. 21,,,,,,,,58,,,,,
,Argidae,Arge ustulata,"(Linnaeus,1758)",Crataegus spp. (Hawthorns),,,,,,,,,,,,,,,,Hylotoma ustulata,,,"3,4-5 2,10-3",,,,,fig. 21,,,,,,,,58,,,,,
